Coord;Interestingness
(0.0, -1.0, 0.0);0.8645833
(0.2, -0.9, 0.2);0.6051431
(0.4, -0.8, 0.4);0.3017057
(0.6, -0.7, 0.6);0.2751673
(0.8, -0.6, 0.8);0.2151587
(1.0, -0.4, 1.0);0.1597587
(1.2, -0.3, 1.2);0.1271237
(1.4, -0.2, 1.4);0.1055864
(1.6, -0.2, 1.6);0.09030028
(1.8, -0.1, 1.8);0.07888561
(2.0, -0.1, 2.0);0.07003555
(2.2, 0.0, 2.2);0.06297245
(2.4, 0.1, 2.4);0.05720436
(2.6, 0.1, 2.6);0.05240485
(2.8, 0.2, 2.8);0.05452161
(3.0, 0.3, 3.0);0.05578808
(3.2, 0.3, 3.2);0.05121391
(3.4, 0.3, 3.4);0.04733331
(3.6, 0.3, 3.6);0.0439996
(3.8, 0.3, 3.8);0.04110473
(4.0, 0.4, 4.0);0.0385674
(4.2, 0.4, 4.2);0.03632518
(4.4, 0.4, 4.4);0.01468495
(4.6, 0.4, 4.6);0.03010495
(4.8, 0.4, 4.8);0.02872125
(5.0, 0.4, 5.0);0.01307236
(5.2, 0.4, 5.2);0.01280454
(5.4, 0.4, 5.4);0.02636866
(5.6, 0.4, 5.6);0.02530106
(5.8, 0.4, 5.8);0.01156102
(6.0, 0.4, 6.0);0.01135105
(6.2, 0.4, 6.2);0.02345749
(6.4, 0.4, 6.4);0.02260884
(6.6, 0.4, 6.6);0.01036293
(6.8, 0.4, 6.8);0.0101939
(7.0, 0.5, 7.0);0.01127285
(7.2, 0.5, 7.2);0.02075385
(7.4, 0.5, 7.4);0.02008679
(7.6, 0.5, 7.6);0.009233776
(7.8, 0.5, 7.8);0.009099339
(8.0, 0.5, 8.0);0.01890713
(8.2, 0.5, 8.2);0.01835192
(8.4, 0.5, 8.4);0.008453213
(8.6, 0.5, 8.6);0.008340405
(8.8, 0.5, 8.8);0.00823057
(9.0, 0.5, 9.0);0.01713817
(9.2, 0.5, 9.2);0.01668074
(9.4, 0.5, 9.4);0.007698325
(9.6, 0.5, 9.6);0.01605073
(9.8, 0.5, 9.8);0.01564883
(10.0, 0.5, 10.0);0.007230737
(10.2, 0.6, 10.2);0.00714804
(10.4, 0.6, 10.4);0.01492346
(10.6, 0.6, 10.6);0.01457542
(10.8, 0.6, 10.8);0.006743153
(11.0, 0.6, 11.0);0.006671176
(11.2, 0.6, 11.2);0.006600721
(11.4, 0.6, 11.4);0.01379926
(11.6, 0.6, 11.6);0.01350116
(11.8, 0.6, 11.8);0.006253961
(12.0, 0.6, 12.0);0.006192001
(12.2, 0.6, 12.2);0.009932972
(12.4, 0.6, 12.4);0.009777575
(12.6, 0.6, 12.6);0.005941814
(12.8, 0.6, 12.8);0.005885858
(13.0, 0.6, 13.0);0.005830945
(13.2, 0.6, 13.2);0.01007506
(13.4, 0.6, 13.4);0.009915221
(13.6, 0.6, 13.6);0.005596008
(13.8, 0.6, 13.8);0.005546348
(14.0, 0.6, 14.0);0.009589228
(14.2, 0.6, 14.2);0.009444323
(14.4, 0.6, 14.4)